transcript_uid,name
mloh103-tape0001-s001-m,"Del, Jenny"
mloh103-tape0001-s001-m,Interviewer
mloh103-tape0001-s002-m,"Del, Jenny"
mloh103-tape0001-s002-m,Interviewer
mloh103-tape0002-s001-m,"Dunstan, Graeme"
mloh103-tape0002-s001-m,Interviewer
mloh103-tape0002-s002-m,"Dunstan, Graeme"
mloh103-tape0002-s002-m,Interviewer
mloh103-tape0003-s001-m,"Dunstan, Graeme"
mloh103-tape0003-s001-m,Interviewer
mloh103-tape0003-s002-m,"Dunstan, Graeme"
mloh103-tape0003-s002-m,Interviewer
mloh103-tape0004-s001-m,Burrie Burriganjerram
mloh103-tape0004-s001-m,Interviewer
mloh103-tape0005-s001-m,Harry Freeman
mloh103-tape0005-s001-m,Interviewer
mloh103-tape0005-s002-m,Harry Freeman
mloh103-tape0005-s002-m,Interviewer
mloh103-tape0006-s001-m,Martin Mays
mloh103-tape0006-s001-m,Interviewer
mloh103-tape0006-s002-m,Martin Mays
mloh103-tape0006-s002-m,Harry Freeman
mloh103-tape0006-s002-m,Interviewer
mloh103-tape0007-s001-m,Jyllie Jackson
mloh103-tape0007-s001-m,Interviewer
mloh103-tape0007-s002-m,Jyllie Jackson
mloh103-tape0007-s002-m,Interviewer
mloh103-tape0008-s001-m,David Hallett
mloh103-tape0008-s001-m,Interviewer
mloh103-tape0008-s002-m,David Hallett
mloh103-tape0008-s002-m,Interviewer
mloh103-tape0009-s001-m,Bob Hopkins
mloh103-tape0009-s001-m,Interviewer
mloh103-tape0009-s002-m,Bob Hopkins
mloh103-tape0009-s002-m,Interviewer
mloh103-tape0010-s001-m,Floresta Vergine
mloh103-tape0010-s001-m,Interviewer
mloh103-tape0011-s001-m,Terry McGee
mloh103-tape0011-s001-m,Interviewer
mloh103-tape0011-s002-m,Terry McGee
mloh103-tape0011-s002-m,Marie Soward
mloh103-tape0011-s002-m,Don Johston
mloh103-tape0011-s002-m,Interviewer
mloh103-tape0012-s001-m,Linnet Pyke
mloh103-tape0012-s001-m,Simon Cass
mloh103-tape0012-s001-m,Interviewer
mloh103-tape0012-s002-m,Linnet Pyke
mloh103-tape0012-s002-m,Simon Cass
mloh103-tape0012-s002-m,Interviewer
mloh103-tape0013-s001-m,Terry McGee
mloh103-tape0013-s001-m,Daisy Stewart
mloh103-tape0013-s001-m,Interviewer
mloh103-tape0013-s002-m,Marie Soward
mloh103-tape0013-s002-m,Daisy Stewart
mloh103-tape0013-s002-m,Interviewer
mloh103-tape0014-s001-m,Marie Soward
mloh103-tape0014-s001-m,Charlie Soward
mloh103-tape0014-s001-m,Don Johston
mloh103-tape0014-s001-m,Interviewer
mloh103-tape0014-s002-m,Don Johston
mloh103-tape0014-s002-m,Interviewer
mloh103-tape0015-s001-m,Peter Pedals
mloh103-tape0015-s001-m,Interviewer
mloh103-tape0015-s002-m,Peter Pedals
mloh103-tape0015-s002-m,Interviewer
mloh103-tape0016-s001-m,Robyn Moore
mloh103-tape0016-s001-m,Interviewer
mloh103-tape0016-s002-m,Robyn Moore
mloh103-tape0016-s002-m,Interviewer
mloh103-tape0017-s001-m,Eddie Buivids
mloh103-tape0017-s001-m,Interviewer
mloh103-tape0017-s002-m,Eddie Buivids
mloh103-tape0017-s002-m,Interviewer
mloh103-tape0018-s001-m,Martin Kovacic
mloh103-tape0018-s001-m,Interviewer
mloh103-tape0018-s002-m,Martin Kovacic
mloh103-tape0018-s002-m,Gloria Constine
mloh103-tape0018-s002-m,Interviewer
mloh103-tape0019-s001-m,Bob Tissott
mloh103-tape0019-s001-m,Interviewer
mloh103-tape0019-s002-m,Bob Tissott
mloh103-tape0019-s002-m,Gill Jones
mloh103-tape0019-s002-m,Interviewer
mloh103-tape0020-s001-m,Gloria Constine
mloh103-tape0020-s001-m,Gretta Seed
mloh103-tape0020-s001-m,Interviewer
mloh103-tape0020-s002-m,Gretta Seed
mloh103-tape0020-s002-m,Stuart Anderson
mloh103-tape0020-s002-m,Interviewer
mloh103-tape0021-s001-m,Stuart Anderson
mloh103-tape0021-s001-m,Interviewer
mloh103-tape0021-s002-m,Nan Nicholson
mloh103-tape0021-s002-m,Interviewer
mloh103-tape0022-s001-m,Nan Nicholson
mloh103-tape0022-s001-m,Hugh Nicholson
mloh103-tape0022-s001-m,David Spain
mloh103-tape0022-s001-m,Interviewer
mloh103-tape0022-s002-m,David Spain
mloh103-tape0022-s002-m,Kali McLaughlin
mloh103-tape0022-s002-m,Interviewer
mloh103-tape0023-s001-m,Kali McLaughlin
mloh103-tape0023-s001-m,Interviewer
