transcript_uid,name
marty-needelman-0001,Emma Clark
marty-needelman-0001,Marty Needelman
wil-chabrier-0001,Emma Clark
wil-chabrier-0001,Wil Chabrier
paula-silver-0001,Emma Clark
paula-silver-0001,Paula Silver
elayne-archer-0001,Emma Clark
elayne-archer-0001,Elayne Archer
sheila-gallagher-0001,Emma Clark
sheila-gallagher-0001,Brenda Bentt-Peters
sheila-gallagher-0001,Sheila Gallagher
joseph-frega-0001,Taina Evans
joseph-frega-0001,Joseph Frega
lois-revett-0001,Lauren Fiorelli
lois-revett-0001,Lois Revett
frank-seddio-0001,Taina Evans
frank-seddio-0001,Frank Seddio
ramona-johnson-nefertari-0001,Lauren Fiorelli
ramona-johnson-nefertari-0001,Emma Clark
ramona-johnson-nefertari-0001,Ramona Johnson
ramona-johnson-nefertari-0001,Nefertari
inez-spencer-0001,Taina Evans
inez-spencer-0001,Inez Spencer
olando-lunnon-0001,Taina Evans
olando-lunnon-0001,Olando Lunnon
laura-mccarther-lisa-jackson-0001,Taina Evans
laura-mccarther-lisa-jackson-0001,Laura McCarther Wright
laura-mccarther-lisa-jackson-0001,Lisa Jackson
susan-frazier-0001,Taina Evans
susan-frazier-0001,Susan Frazier
maggie-stokkeland-0001,Emma Clark
maggie-stokkeland-0001,Maggie Stokkeland
rose-gordon-0001,Emma Clark
rose-gordon-0001,Rose Gordon
terry-miranda-0001,Emma Clark
terry-miranda-0001,Terry Miranda
richard-isaacson-0001,Lauren Fiorelli
richard-isaacson-0001,Richard Isaacson
joyce-jed-0001,Lauren Fiorelli
joyce-jed-0001,Joyce Jed
joseph-nelson-0001,Lauren Fiorelli
joseph-nelson-0001,Joseph Nelson
barbara-hopson-0001,Brian Hasbrouck
barbara-hopson-0001,Barbara Hopson
phil-franco-0001,Emma Clark
phil-franco-0001,Phil Franco
wiw382,Nina Porzucki
wiw383,Zeba Khan
wiw384,Alice Guthrie
wiw393,Nina Porzucki
wiw393,Eddie Izzard
wiw391,Nina Porzucki
wiw391,Gad Elmaleh
wiw386,Patrick Cox
wiw387,Ari Daniel
wiw388,Eino Partanen
wiw389,Janet Werker
wiw390,Nina Porzucki
wiw383,Patrick Cox
wiw384,Shana Shealy
wiw385,Arik Sadan
wiw386,Sobhi Bahloul
wiw388,Patrick Cox
wiw389,Jim McCloskey
wiw390,Jaye Padgett
wiw391,Patrick Cox's father
wiw392,Iarla O'Halloran
wiw401,Nina Porzucki
wiw402,Patrick Cox
wiw403,Judith Jesch
wiw404,"Paul ""Poof"" Tardiff"
wiw405,Barry Yager
wiw367,Nina Porzucki
wiw368,Debbie Nathan
wiw369,Bert Vaux
