uid,title,description,image_url,notes,url,audio_url,collection,vendor,vendor_identifier,can_download
the-story-behind-mark-ronsons-hit-song-uptown-funk,The Story Behind Mark Ronson's Hit Song 'Uptown Funk',The Story Behind Mark Ronson's Hit Song 'Uptown Funk',https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/npr-fresh-air.png,,,http://pd.npr.org/anon.npr-mp3/npr/fa/2015/12/20151231_fa_01.mp3,fresh-air,pop_up_archive,80454,1
ansari-and-yang-explore-the-firstgeneration-experience-in-master-of-none,Ansari And Yang Explore The First-Generation Experience In 'Master Of None',Ansari And Yang Explore The First-Generation Experience In 'Master Of None',https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/npr-fresh-air.png,,,http://pd.npr.org/anon.npr-mp3/npr/fa/2015/12/20151231_fa_02.mp3,fresh-air,pop_up_archive,80455,1
at-81-feminist-gloria-steinem-finds-herself-free-of-the-demands-of-gender,"At 81, Feminist Gloria Steinem Finds Herself Free Of The 'Demands Of Gender'","At 81, Feminist Gloria Steinem Finds Herself Free Of The 'Demands Of Gender'",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/npr-fresh-air.png,,,http://pd.npr.org/anon.npr-mp3/npr/fa/2015/12/20151230_fa_01.mp3,fresh-air,pop_up_archive,80456,1
actor-jeffrey-tambor-on-transparent-i-loved-it-from-the-very-beginning,Actor Jeffrey Tambor On Transparent': 'I Loved It From The Very Beginning',Actor Jeffrey Tambor On Transparent': 'I Loved It From The Very Beginning',https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/npr-fresh-air.png,,,http://pd.npr.org/anon.npr-mp3/npr/fa/2015/12/20151230_fa_02.mp3,fresh-air,pop_up_archive,80457,1
tanehisi-coates-on-police-brutality-the-confederate-flag-and-forgiveness,"Ta-Nehisi Coates On Police Brutality, The Confederate Flag And Forgiveness","Ta-Nehisi Coates On Police Brutality, The Confederate Flag And Forgiveness",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/npr-fresh-air.png,,,http://pd.npr.org/anon.npr-mp3/npr/fa/2015/12/20151229_fa_01.mp3,fresh-air,pop_up_archive,80458,1
from-ferguson-to-the-16-election-larry-wilmores-nightly-show,From Ferguson To The '16 Election. Larry Wilmore's 'Nightly Show' Has Found Its Voice,From Ferguson To The '16 Election. Larry Wilmore's 'Nightly Show' Has Found Its Voice,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/npr-fresh-air.png,,,http://pd.npr.org/anon.npr-mp3/npr/fa/2015/12/20151228_fa_01.mp3,fresh-air,pop_up_archive,80459,1
funny-or-die-creator-adam-mckay-takes-on-the-2008-economic-crash,Funny Or Die' Creator Adam McKay Takes On The 2008 Economic Crash In 'The Big Short',Funny Or Die' Creator Adam McKay Takes On The 2008 Economic Crash In 'The Big Short',https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/npr-fresh-air.png,,,http://pd.npr.org/anon.npr-mp3/npr/fa/2015/12/20151223_fa_01.mp3,fresh-air,pop_up_archive,80460,1
jennifer-lawrence-looks-back-on-a-careerchanging-yesorno-question,Jennifer Lawrence Looks Back On A Career-Changing 'Yes-Or-No Question',Jennifer Lawrence Looks Back On A Career-Changing 'Yes-Or-No Question',https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/npr-fresh-air.png,,,http://pd.npr.org/anon.npr-mp3/npr/fa/2015/12/20151221_fa_01.mp3,fresh-air,pop_up_archive,80461,1
son-of-saul-brings-viewers-to-the-heart-of-the-nazi-death-machine,Son Of Saul' Brings Viewers To The Heart Of The Nazi Death Machine At Auschwitz,Son Of Saul' Brings Viewers To The Heart Of The Nazi Death Machine At Auschwitz,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/npr-fresh-air.png,,,http://pd.npr.org/anon.npr-mp3/npr/fa/2015/12/20151218_fa_01.mp3,fresh-air,pop_up_archive,80462,1
neil-gaiman-on-returning-to-sandman-talking-in-his-sleep,"Neil Gaiman On Returning To 'Sandman,' Talking In His Sleep And The Power Of Comics","Neil Gaiman On Returning To 'Sandman,' Talking In His Sleep And The Power Of Comics",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/npr-fresh-air.png,,,http://pd.npr.org/anon.npr-mp3/npr/fa/2015/12/20151215_fa_02.mp3,fresh-air,pop_up_archive,80463,1
patricia-marx-interviews-art-buchwald,Patricia Marx Interviews: Art Buchwald,"Patricia Marx Interviews: Art Buchwald, 1964-01-06",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-art-buchwald.mp3,wnyc,pop_up_archive,80464,1
patricia-marx-interviews-aileen-ward,Patricia Marx Interviews: Aileen Ward,"Patricia Marx Interviews: Aileen Ward, 1964-05-05",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-aileen-ward.mp3,wnyc,pop_up_archive,80465,1
